# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 2000 waveforms. Timestamp: 2023-11-21T14:28:46
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
5.78756762	-75.84898771
5.79489365	-78.36724826
5.80221969	-79.77591299
5.80954572	-81.41317728
5.81687176	-83.43168603
5.82419779	-92.54951256
5.83152383	-81.54809771
5.83884986	-82.31491757
5.84617590	-86.29890610
5.85350193	-85.07358075
5.86082797	-96.28288360
5.86815400	-90.41118531
5.87548004	-98.12293179
5.88280607	-85.28562917
5.89013211	-87.46723024
5.89745814	-80.58620871
5.90478418	-77.16260079
5.91211021	-76.42981868
5.91943625	-75.64759618
5.92676228	-76.94654216
5.93408832	-74.24627445
5.94141435	-72.30312405
5.94874039	-73.09987129
5.95606642	-73.19450958
5.96339246	-72.47761954
5.97071849	-72.96800938
5.97804453	-73.50945913
5.98537056	-72.55047230
5.99269660	-72.73635949
6.00002263	-73.11566523
6.00734867	-73.20726763
6.01467470	-73.91057481
6.02200074	-72.76454128
6.02932677	-73.20647009
6.03665281	-74.30036234
6.04397884	-74.31704384
6.05130488	-77.24721469
6.05863091	-80.36362941
6.06595695	-84.00574556
6.07328298	-83.77086148
6.08060902	-81.01730879
6.08793505	-79.78852016
6.09526109	-76.88419575
6.10258712	-77.71146959
6.10991316	-78.76268562
6.11723919	-79.94323578
6.12456523	-84.38594639
6.13189126	-82.71389641
6.13921730	-86.53206575
6.14654333	-94.71399080
6.15386937	-99.07942229
6.16119540	-87.24969349
6.16852143	-82.58827399
6.17584747	-83.19573713
6.18317350	-80.99359689
6.19049954	-79.21977795
6.19782557	-77.98150339
6.20515161	-78.01981806
6.21247764	-76.73934243
6.21980368	-76.51706422
6.22712971	-77.91458578
6.23445575	-75.67262899
6.24178178	-76.53003604
6.24910782	-81.07852128
6.25643385	-80.19798074
6.26375989	-79.84980386
6.27108592	-79.11898550
6.27841196	-79.79143038
6.28573799	-79.70778356
6.29306403	-78.27426502
6.30039006	-80.13750488
6.30771610	-80.90920115
6.31504213	-79.73262171
6.32236817	-80.06418909
6.32969420	-81.84130324
6.33702024	-85.05058286
6.34434627	-88.43510587
6.35167231	-86.72992319
6.35899834	-82.34084307
6.36632438	-82.31331782
6.37365041	-83.90756561
6.38097645	-91.02555205
6.38830248	-89.18102935
6.39562852	-86.38751873
6.40295455	-89.30722996
6.41028059	-83.68566793
6.41760662	-85.66790053
6.42493266	-86.04768852
6.43225869	-83.90367439
6.43958473	-88.55037148
6.44691076	-84.77850546
6.45423680	-84.80696511
6.46156283	-83.49976548
6.46888887	-83.19182167
6.47621490	-90.01329524
6.48354094	-84.44865028
6.49086697	-84.13684840
6.49819301	-82.03637042
6.50551904	-82.19785864
6.51284508	-84.73371181
6.52017111	-83.61945647
6.52749715	-87.00552574
6.53482318	-84.41601685
6.54214922	-84.64910015
6.54947525	-85.96605150
6.55680129	-86.14465665
6.56412732	-91.99638265
6.57145336	-85.29403619
6.57877939	-86.96303219
6.58610543	-90.60658249
