# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:39:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
6.96703302	-93.86806466
6.97435903	-92.53789855
6.98168504	-95.38252370
6.98901105	-111.38910017
6.99633705	-97.21693384
7.00366306	-91.46125747
7.01098907	-89.79764278
7.01831507	-93.48418547
7.02564108	-101.07073216
7.03296709	-94.12956573
7.04029310	-95.25548687
7.04761910	-109.97222370
7.05494511	-94.22557966
7.06227112	-90.25712733
7.06959713	-94.23783118
7.07692313	-104.57891205
7.08424914	-94.16619543
7.09157515	-99.97811578
7.09890116	-100.48861221
7.10622716	-95.80154694
7.11355317	-98.36615724
7.12087918	-99.68555436
7.12820519	-109.78412849
7.13553119	-98.38347286
7.14285720	-94.33810661
7.15018321	-99.01108266
7.15750922	-99.35046118
7.16483522	-100.71644903
7.17216123	-103.86169490
7.17948724	-100.54872209
7.18681324	-100.14817228
7.19413925	-95.82197273
7.20146526	-98.16426977
7.20879127	-98.05035630
7.21611727	-101.02090879
7.22344328	-98.90205927
7.23076929	-98.32076645
7.23809530	-103.23498132
7.24542130	-104.15539037
7.25274731	-99.62832697
7.26007332	-97.76839705
7.26739933	-105.60797990
7.27472533	-97.18347976
7.28205134	-92.87481918
7.28937735	-92.10673041
7.29670336	-94.70756288
7.30402936	-105.67801801
7.31135537	-100.38864272
7.31868138	-98.34457098
7.32600739	-99.60681860
7.33333339	-97.02529230
7.34065940	-94.05830407
7.34798541	-94.91428383
7.35531141	-100.78523418
7.36263742	-107.71986218
7.36996343	-105.88495433
7.37728944	-108.45391359
7.38461544	-110.41597582
7.39194145	-107.31945061
7.39926746	-102.84436884
7.40659347	-93.32177417
7.41391947	-92.16199009
7.42124548	-97.78984992
7.42857149	-103.79573377
7.43589750	-99.43742370
